wires 0
00-98 01-3b 02-c7 03-bd 04-16 05-f2 06-4a 07-5d 
70-3d 71-d0 72-bf 73-74 74-73 75-cf 76-00 77-81 
78-97 79-9d 7a-d1 7b-99 7c-7e 7d-51 7e-7c 7f-0c 
80-0a 81-77 82-22 83-64 84-1e 85-50 86-04 87-da 
88-fd 89-40 8a-a2 8b-35 8c-6c 8d-b9 8e-aa 8f-db 
90-43 91-e7 92-af 93-c8 94-e1 95-23 96-f9 97-78 
98-b0 99-7b 9a-e9 9b-9c 9c-9b 9d-79 9e-1d 9f-3c 
a0-f3 a1-f1 a2-8a a3-3a a4-ae a5-de a6-24 a7-d4 
a8-44 a9-69 aa-8e ab-1f ac-eb ad-c3 ae-a4 af-92 
b0-98 b1-c0 b2-3b b3-26 b4-29 b5-68 b6-12 b7-3f 
b8-0f b9-8d ba-c2 bb-4f bc-f6 bd-c5 be-d8 bf-72 
c0-b1 c1-06 c2-ba c3-ad c4-6d c5-bd c6-36 c7-05 
c8-93 c9-6e ca-37 cb-20 cc-e8 cd-d5 ce-49 cf-75 
d0-71 d1-7a d2-30 d3-45 d4-a7 d5-cd d6-15 d7-fb 
d8-be d9-0d da-87 db-8f dc-f8 dd-ef de-a5 df-25 
e0-1b e1-94 e2-6b e3-4c e4-2f e5-01 e6-f0 e7-91 
e8-cc e9-9a ea-2b eb-ac ec-54 ed-34 ee-f5 ef-dd 
f0-e6 f1-a1 f2-56 f3-a0 f4-42 f5-ee f6-bc f7-33 
f8-dc f9-96 fa-53 fb-d7 fc-13 fd-88 fe-2a ff-2e 
end wires

wires 11
00-33 01-e0 02-72 03-08 04-40 05-f6 06-43 07-3c 
08-03 09-12 0a-97 0b-20 0c-f5 0d-d5 0e-7f 0f-45 
10-17 11-e2 12-09 13-52 14-16 15-91 16-14 17-10 
18-23 19-f4 1a-e4 1b-b3 1c-e9 1d-a2 1e-77 1f-6e 
20-0b 21-6b 22-c4 23-18 24-fa 25-be 26-4b 27-67 
28-5a 29-6d 2a-f7 2b-d9 2c-46 2d-af 2e-75 2f-ad 
30-64 31-a8 32-6f 33-00 34-81 35-80 36-7a 37-5c 
38-48 39-b0 3a-b1 3b-82 3c-07 3d-d8 3e-cd 3f-9d 
40-04 41-8a 42-ef 43-06 44-57 45-0f 46-2c 47-d7 
48-38 49-56 4a-7d 4b-26 4c-78 4d-ae 4e-ca 4f-70 
50-94 51-5f 52-13 53-cf 54-d0 55-b6 56-49 57-44 
58-60 59-c7 5a-28 5b-8b 5c-37 5d-b8 5e-68 5f-51 
60-58 61-8e 62-bc 63-87 64-30 65-76 66-f8 67-27 
68-5e 69-fd 6a-9c 6b-21 6c-a0 6d-29 6e-1f 6f-32 
70-4f 71-7b 72-02 73-c0 74-92 75-2e 76-65 77-1e 
78-4c 79-a1 7a-36 7b-71 7c-c9 7d-4a 7e-9e 7f-0e 
80-35 81-34 82-3b 83-e8 84-90 85-ff 86-b4 87-63 
88-b2 89-8d 8a-41 8b-5b 8c-ce 8d-89 8e-61 8f-b9 
90-84 91-15 92-74 93-9f 94-50 95-a9 96-9a 97-0a 
98-ed 99-d1 9a-96 9b-a6 9c-6a 9d-3f 9e-7e 9f-93 
a0-6c a1-79 a2-1d a3-de a4-f0 a5-cb a6-9b a7-d2 
a8-31 a9-95 aa-df ab-f1 ac-d4 ad-2f ae-4d af-2d 
b0-39 b1-3a b2-88 b3-1b b4-86 b5-cc b6-55 b7-c8 
b8-5d b9-8f ba-ee bb-c1 bc-62 bd-ea be-25 bf-d6 
c0-73 c1-bb c2-f9 c3-db c4-22 c5-f3 c6-fb c7-59 
c8-b7 c9-7c ca-4e cb-a5 cc-b5 cd-3e ce-8c cf-53 
d0-54 d1-99 d2-a7 d3-eb d4-ac d5-0d d6-bf d7-47 
d8-3d d9-2b da-f2 db-c3 dc-ec dd-fe de-a3 df-aa 
e0-01 e1-e6 e2-11 e3-e7 e4-1a e5-fc e6-e1 e7-e3 
e8-83 e9-1c ea-bd eb-d3 ec-dc ed-98 ee-ba ef-42 
f0-a4 f1-ab f2-da f3-c5 f4-19 f5-0c f6-05 f7-2a 
f8-66 f9-c2 fa-24 fb-c6 fc-e5 fd-69 fe-dd ff-85 
end wires

wires 12
00-e0 01-08 02-ae 03-12 04-bf 05-ef 06-73 07-3f 
08-01 09-30 0a-92 0b-42 0c-d0 0d-e9 0e-95 0f-ea 
10-4e 11-c7 12-03 13-70 14-e5 15-48 16-da 17-c5 
18-c8 19-5a 1a-e3 1b-aa 1c-7c 1d-43 1e-9b 1f-3a 
20-6a 21-89 22-fa 23-87 24-f9 25-80 26-6e 27-61 
28-5d 29-46 2a-4b 2b-6f 2c-78 2d-3c 2e-53 2f-d2 
30-09 31-f3 32-4c 33-67 34-82 35-e2 36-f5 37-e1 
38-cb 39-b2 3a-1f 3b-a0 3c-2d 3d-ed 3e-ee 3f-07 
40-de 41-d9 42-0b 43-1d 44-db 45-85 46-29 47-d3 
48-15 49-90 4a-ca 4b-2a 4c-32 4d-e8 4e-10 4f-a6 
50-f7 51-ac 52-76 53-2e 54-7d 55-6d 56-cd 57-9a 
58-69 59-f6 5a-19 5b-f4 5c-fe 5d-28 5e-a9 5f-ec 
60-a2 61-27 62-b3 63-84 64-c9 65-f8 66-86 67-33 
68-a8 69-58 6a-20 6b-77 6c-75 6d-55 6e-26 6f-2b 
70-13 71-f0 72-b7 73-06 74-df 75-6c 76-52 77-6b 
78-2c 79-8d 7a-ab 7b-9d 7c-1c 7d-54 7e-a7 7f-c2 
80-25 81-fd 82-34 83-96 84-63 85-45 86-66 87-23 
88-dc 89-21 8a-c6 8b-e7 8c-e6 8d-79 8e-cc 8f-fc 
90-49 91-d4 92-0a 93-d5 94-9f 95-0e 96-83 97-bc 
98-f2 99-ce 9a-57 9b-1e 9c-dd 9d-7b 9e-b0 9f-94 
a0-3b a1-b1 a2-60 a3-d7 a4-b9 a5-b5 a6-4f a7-7e 
a8-68 a9-5e aa-1b ab-7a ac-51 ad-b8 ae-02 af-ba 
b0-9e b1-a1 b2-39 b3-62 b4-eb b5-a5 b6-c1 b7-72 
b8-ad b9-a4 ba-af bb-bd bc-97 bd-bb be-c3 bf-04 
c0-c4 c1-b6 c2-7f c3-be c4-c0 c5-17 c6-8a c7-11 
c8-18 c9-64 ca-4a cb-38 cc-8e cd-56 ce-99 cf-d1 
d0-0c d1-cf d2-2f d3-47 d4-91 d5-93 d6-f1 d7-a3 
d8-ff d9-41 da-16 db-44 dc-88 dd-9c de-40 df-74 
e0-00 e1-37 e2-35 e3-1a e4-fb e5-14 e6-8c e7-8b 
e8-4d e9-0d ea-0f eb-b4 ec-5f ed-3d ee-3e ef-05 
f0-71 f1-d6 f2-98 f3-31 f4-5b f5-36 f6-59 f7-50 
f8-65 f9-24 fa-22 fb-e4 fc-8f fd-81 fe-5c ff-d8 
end wires

wires 13
00-cc 01-43 02-19 03-fa 04-1c 05-c1 06-6b 07-bf 
08-3f 09-1b 0a-9e 0b-3b 0c-41 0d-cd 0e-e5 0f-bb 
10-67 11-d8 12-ed 13-64 14-a0 15-bd 16-34 17-93 
18-26 19-02 1a-95 1b-09 1c-04 1d-82 1e-30 1f-4e 
20-8f 21-aa 22-8b 23-5f 24-56 25-d4 26-18 27-d7 
28-a7 29-e9 2a-33 2b-ca 2c-54 2d-d2 2e-fe 2f-61 
30-1e 31-7b 32-f0 33-2a 34-16 35-86 36-50 37-ce 
38-59 39-85 3a-bc 3b-0b 3c-48 3d-ae 3e-9f 3f-08 
40-65 41-0c 42-e8 43-01 44-5d 45-4a 46-d3 47-72 
48-3c 49-af 4a-45 4b-f2 4c-70 4d-6a 4e-1f 4f-81 
50-36 51-5c 52-60 53-6f 54-2c 55-8a 56-24 57-c3 
58-ba 59-38 5a-b5 5b-6c 5c-51 5d-44 5e-ff 5f-23 
60-52 61-2f 62-96 63-ac 64-13 65-40 66-91 67-10 
68-c0 69-77 6a-4d 6b-06 6c-5b 6d-c7 6e-97 6f-53 
70-4c 71-fd 72-47 73-90 74-99 75-a9 76-ad 77-69 
78-98 79-b9 7a-b2 7b-31 7c-e3 7d-f1 7e-87 7f-ec 
80-e2 81-4f 82-1d 83-8e 84-b6 85-39 86-35 87-7e 
88-d6 89-eb 8a-55 8b-22 8c-92 8d-dd 8e-83 8f-20 
90-73 91-66 92-8c 93-17 94-be 95-1a 96-62 97-6e 
98-78 99-74 9a-a6 9b-a5 9c-e7 9d-f9 9e-0a 9f-3e 
a0-14 a1-c4 a2-db a3-fc a4-b0 a5-9b a6-9a a7-28 
a8-ea a9-75 aa-21 ab-f8 ac-63 ad-76 ae-3d af-49 
b0-a4 b1-f3 b2-7a b3-c8 b4-da b5-5a b6-84 b7-de 
b8-ef b9-79 ba-58 bb-0f bc-3a bd-15 be-94 bf-07 
c0-68 c1-05 c2-d1 c3-57 c4-a1 c5-e0 c6-f5 c7-6d 
c8-b3 c9-e6 ca-2b cb-d9 cc-00 cd-0d ce-37 cf-fb 
d0-e4 d1-c2 d2-2d d3-46 d4-25 d5-f7 d6-88 d7-27 
d8-11 d9-cb da-b4 db-a2 dc-df dd-8d de-b7 df-dc 
e0-c5 e1-f4 e2-80 e3-7c e4-d0 e5-0e e6-c9 e7-9c 
e8-42 e9-29 ea-a8 eb-89 ec-7f ed-12 ee-f6 ef-b8 
f0-32 f1-7d f2-4b f3-b1 f4-e1 f5-c6 f6-ee f7-d5 
f8-ab f9-9d fa-03 fb-cf fc-a3 fd-71 fe-2e ff-5e 
end wires

wires 14
00-7a 01-da 02-11 03-29 04-15 05-ae 06-ca 07-a1 
08-61 09-30 0a-bb 0b-fe 0c-87 0d-32 0e-4d 0f-f5 
10-bd 11-02 12-fb 13-94 14-bf 15-04 16-64 17-ff 
18-a2 19-24 1a-46 1b-fd 1c-ac 1d-f9 1e-3e 1f-25 
20-78 21-2e 22-69 23-43 24-19 25-1f 26-de 27-8a 
28-92 29-03 2a-c4 2b-72 2c-b7 2d-50 2e-21 2f-67 
30-09 31-d6 32-0d 33-7b 34-79 35-b8 36-74 37-e4 
38-77 39-53 3a-b2 3b-dc 3c-f4 3d-4c 3e-1e 3f-ab 
40-51 41-cb 42-e8 43-23 44-d8 45-e1 46-1a 47-d0 
48-65 49-5c 4a-f0 4b-9f 4c-3d 4d-0e 4e-c0 4f-c2 
50-2d 51-40 52-b4 53-39 54-af 55-a8 56-c1 57-8b 
58-71 59-cf 5a-ce 5b-93 5c-49 5d-86 5e-ee 5f-9d 
60-9e 61-08 62-dd 63-f6 64-16 65-48 66-cc 67-2f 
68-c8 69-22 6a-d9 6b-b1 6c-9c 6d-83 6e-90 6f-7c 
70-88 71-58 72-2b 73-a7 74-36 75-8e 76-f3 77-38 
78-20 79-34 7a-00 7b-33 7c-6f 7d-98 7e-c6 7f-b5 
80-8f 81-bc 82-f1 83-6d 84-ba 85-d1 86-5d 87-0c 
88-70 89-99 8a-27 8b-57 8c-aa 8d-95 8e-75 8f-80 
90-6e 91-96 92-28 93-5b 94-13 95-8d 96-91 97-fa 
98-7d 99-89 9a-be 9b-cd 9c-6c 9d-5f 9e-60 9f-4b 
a0-a4 a1-07 a2-18 a3-ea a4-a0 a5-d2 a6-c7 a7-73 
a8-55 a9-b3 aa-8c ab-3f ac-1c ad-fc ae-05 af-54 
b0-f8 b1-6b b2-3a b3-a9 b4-52 b5-7f b6-c9 b7-2c 
b8-35 b9-e0 ba-84 bb-0a bc-81 bd-10 be-9a bf-14 
c0-4e c1-56 c2-4f c3-ef c4-2a c5-eb c6-7e c7-a6 
c8-68 c9-b6 ca-06 cb-41 cc-66 cd-9b ce-5a cf-59 
d0-47 d1-85 d2-a5 d3-e2 d4-f2 d5-ec d6-31 d7-df 
d8-44 d9-6a da-01 db-e3 dc-3b dd-62 de-26 df-d7 
e0-b9 e1-45 e2-d3 e3-db e4-37 e5-e9 e6-f7 e7-ed 
e8-42 e9-e5 ea-a3 eb-c5 ec-d5 ed-e7 ee-5e ef-c3 
f0-4a f1-82 f2-d4 f3-76 f4-3c f5-0f f6-63 f7-e6 
f8-b0 f9-1d fa-97 fb-12 fc-ad fd-1b fe-0b ff-17 
end wires

wires 15
00-ed 01-98 02-cb 03-46 04-93 05-57 06-72 07-f4 
08-6a 09-11 0a-15 0b-cd 0c-bf 0d-1b 0e-6b 0f-9e 
10-a7 11-09 12-97 13-85 14-b6 15-0a 16-c8 17-4a 
18-99 19-89 1a-d2 1b-0d 1c-39 1d-7c 1e-8f 1f-73 
20-4e 21-2d 22-ee 23-5b 24-88 25-69 26-33 27-84 
28-83 29-30 2a-f6 2b-78 2c-b8 2d-21 2e-7b 2f-e0 
30-29 31-71 32-d8 33-26 34-37 35-bd 36-6f 37-34 
38-a9 39-1c 3a-8b 3b-c4 3c-bc 3d-a8 3e-79 3f-ef 
40-d6 41-9f 42-de 43-60 44-50 45-48 46-03 47-c1 
48-45 49-7e 4a-17 4b-9a 4c-7f 4d-68 4e-20 4f-a0 
50-44 51-75 52-92 53-d5 54-b0 55-94 56-b5 57-05 
58-b7 59-ec 5a-fd 5b-23 5c-5e 5d-6d 5e-5c 5f-fb 
60-43 61-be 62-a6 63-86 64-f0 65-e5 66-9d 67-9c 
68-4d 69-25 6a-08 6b-0e 6c-91 6d-5d 6e-e1 6f-36 
70-f1 71-31 72-06 73-1f 74-c2 75-51 76-87 77-d3 
78-2b 79-3e 7a-b4 7b-2e 7c-1d 7d-af 7e-49 7f-4c 
80-f3 81-ad 82-c9 83-28 84-27 85-13 86-63 87-76 
88-24 89-19 8a-c0 8b-3a 8c-f8 8d-cf 8e-f9 8f-1e 
90-f5 91-6c 92-52 93-04 94-55 95-f2 96-a1 97-12 
98-01 99-18 9a-4b 9b-e9 9c-67 9d-66 9e-0f 9f-41 
a0-4f a1-96 a2-e7 a3-b2 a4-aa a5-b9 a6-62 a7-10 
a8-3d a9-38 aa-a4 ab-fc ac-da ad-81 ae-e2 af-7d 
b0-54 b1-ca b2-a3 b3-ea b4-7a b5-56 b6-14 b7-58 
b8-2c b9-a5 ba-d7 bb-f7 bc-3c bd-35 be-61 bf-0c 
c0-8a c1-47 c2-74 c3-c5 c4-3b c5-c3 c6-fa c7-e3 
c8-16 c9-82 ca-b1 cb-02 cc-d9 cd-0b ce-e4 cf-8d 
d0-e6 d1-df d2-1a d3-77 d4-dd d5-53 d6-40 d7-ba 
d8-32 d9-cc da-ac db-fe dc-ff dd-d4 de-42 df-d1 
e0-2f e1-6e e2-ae e3-c7 e4-ce e5-65 e6-d0 e7-a2 
e8-eb e9-9b ea-b3 eb-e8 ec-59 ed-00 ee-22 ef-3f 
f0-64 f1-70 f2-95 f3-80 f4-07 f5-90 f6-2a f7-bb 
f8-8c f9-8e fa-c6 fb-5f fc-ab fd-5a fe-db ff-dc 
end wires

wires 16
00-6c 01-1f 02-e6 03-ed 04-df 05-13 06-f0 07-5a 
08-81 09-8d 0a-66 0b-36 0c-92 0d-87 0e-a5 0f-b0 
10-a1 11-50 12-a3 13-05 14-96 15-18 16-8f 17-2d 
18-15 19-6f 1a-71 1b-f7 1c-54 1d-48 1e-6a 1f-01 
20-fd 21-a9 22-e2 23-fb 24-8b 25-4e 26-c9 27-9f 
28-e5 29-d6 2a-d7 2b-78 2c-3f 2d-17 2e-82 2f-b2 
30-4b 31-89 32-ce 33-3b 34-cf 35-7c 36-0b 37-93 
38-4d 39-57 3a-ba 3b-33 3c-f8 3d-4f 3e-83 3f-2c 
40-41 41-40 42-ec 43-e4 44-98 45-c6 46-56 47-69 
48-1d 49-cc 4a-ee 4b-30 4c-85 4d-38 4e-25 4f-3d 
50-11 51-91 52-9e 53-a4 54-1c 55-d3 56-46 57-39 
58-f6 59-b1 5a-07 5b-62 5c-d1 5d-95 5e-7d 5f-b7 
60-fe 61-dc 62-5b 63-9a 64-ac 65-c4 66-0a 67-88 
68-79 69-47 6a-1e 6b-e8 6c-00 6d-b6 6e-c5 6f-19 
70-d0 71-1a 72-90 73-e9 74-8e 75-f2 76-e7 77-b5 
78-2b 79-68 7a-8a 7b-d4 7c-35 7d-5e 7e-e3 7f-8c 
80-db 81-08 82-2e 83-3e 84-fc 85-4c 86-cd 87-0d 
88-67 89-31 8a-7a 8b-24 8c-7f 8d-09 8e-74 8f-16 
90-72 91-51 92-0c 93-37 94-af 95-5d 96-14 97-f9 
98-44 99-c1 9a-63 9b-e1 9c-d9 9d-c8 9e-52 9f-27 
a0-da a1-10 a2-ea a3-12 a4-53 a5-0e a6-e0 a7-c2 
a8-ab a9-21 aa-dd ab-a8 ac-64 ad-ef ae-fa af-94 
b0-0f b1-59 b2-2f b3-c7 b4-bb b5-77 b6-6d b7-5f 
b8-b9 b9-b8 ba-3a bb-b4 bc-ca bd-c3 be-f4 bf-c0 
c0-bf c1-99 c2-a7 c3-bd c4-65 c5-6e c6-45 c7-b3 
c8-9d c9-26 ca-bc cb-f5 cc-49 cd-86 ce-32 cf-34 
d0-70 d1-5c d2-ff d3-55 d4-7b d5-f1 d6-29 d7-2a 
d8-de d9-9c da-a0 db-80 dc-61 dd-aa de-d8 df-04 
e0-a6 e1-9b e2-22 e3-7e e4-43 e5-28 e6-02 e7-76 
e8-6b e9-73 ea-a2 eb-f3 ec-42 ed-03 ee-4a ef-ad 
f0-06 f1-d5 f2-75 f3-eb f4-be f5-cb f6-58 f7-1b 
f8-3c f9-97 fa-ae fb-23 fc-84 fd-20 fe-60 ff-d2 
end wires

wires 17
00-c9 01-10 02-b4 03-bb 04-7d 05-96 06-65 07-ce 
08-bd 09-8d 0a-19 0b-86 0c-6d 0d-de 0e-80 0f-ee 
10-01 11-94 12-16 13-f6 14-5d 15-3b 16-12 17-b6 
18-7c 19-0a 1a-2e 1b-a3 1c-4b 1d-32 1e-95 1f-47 
20-3e 21-4f 22-f8 23-9a 24-81 25-e1 26-36 27-d2 
28-e0 29-8f 2a-e3 2b-5b 2c-41 2d-f9 2e-1a 2f-e8 
30-cc 31-6a 32-1d 33-a1 34-b3 35-58 36-26 37-aa 
38-b7 39-7b 3a-64 3b-15 3c-a5 3d-b0 3e-20 3f-ac 
40-46 41-2c 42-4c 43-ad 44-af 45-71 46-40 47-1f 
48-5c 49-c3 4a-bf 4b-1c 4c-42 4d-67 4e-57 4f-21 
50-ef 51-90 52-e9 53-fb 54-a7 55-bc 56-9f 57-4e 
58-35 59-e6 5a-f5 5b-2b 5c-48 5d-14 5e-d5 5f-c8 
60-be 61-db 62-7a 63-c5 64-3a 65-06 66-cb 67-4d 
68-e7 69-a9 6a-31 6b-91 6c-f0 6d-0c 6e-c1 6f-da 
70-ba 71-45 72-c7 73-d6 74-ca 75-77 76-a0 77-75 
78-eb 79-e2 7a-62 7b-39 7c-18 7d-04 7e-ab 7f-9d 
80-0e 81-24 82-cd 83-d3 84-e4 85-dd 86-0b 87-99 
88-93 89-a4 8a-ae 8b-fa 8c-ed 8d-09 8e-b5 8f-29 
90-51 91-6b 92-f2 93-88 94-11 95-1e 96-05 97-d9 
98-a8 99-87 9a-23 9b-d0 9c-fe 9d-7f 9e-ff 9f-56 
a0-76 a1-33 a2-b8 a3-1b a4-89 a5-3c a6-ea a7-54 
a8-98 a9-69 aa-37 ab-7e ac-3f ad-43 ae-8a af-44 
b0-3d b1-f4 b2-f1 b3-34 b4-02 b5-8e b6-17 b7-38 
b8-a2 b9-ec ba-70 bb-03 bc-55 bd-08 be-60 bf-4a 
c0-dc c1-6e c2-e5 c3-49 c4-cf c5-63 c6-d8 c7-72 
c8-5f c9-00 ca-74 cb-66 cc-30 cd-82 ce-07 cf-c4 
d0-9b d1-f7 d2-27 d3-83 d4-fd d5-5e d6-73 d7-f3 
d8-c6 d9-97 da-6f db-61 dc-c0 dd-85 de-0d df-fc 
e0-28 e1-25 e2-79 e3-2a e4-84 e5-c2 e6-59 e7-68 
e8-2f e9-52 ea-a6 eb-78 ec-b9 ed-8c ee-0f ef-50 
f0-6c f1-b2 f2-92 f3-d7 f4-b1 f5-5a f6-13 f7-d1 
f8-22 f9-2d fa-8b fb-53 fc-df fd-d4 fe-9c ff-9e 
end wires

wires 18
00-bf 01-e6 02-74 03-5d 04-ca 05-3b 06-28 07-a4 
08-bd 09-8c 0a-d5 0b-85 0c-ed 0d-40 0e-9d 0f-52 
10-48 11-f7 12-7b 13-75 14-5a 15-fc 16-e7 17-c1 
18-ef 19-f8 1a-61 1b-7d 1c-db 1d-fb 1e-36 1f-86 
20-5c 21-d4 22-7e 23-84 24-b4 25-d9 26-8b 27-ec 
28-06 29-b2 2a-4b 2b-83 2c-6b 2d-a8 2e-c9 2f-b8 
30-ee 31-65 32-de 33-9a 34-7c 35-f6 36-1e 37-d3 
38-e4 39-c8 3a-42 3b-05 3c-54 3d-b7 3e-4e 3f-b0 
40-0d 41-b1 42-3a 43-f5 44-8a 45-88 46-7a 47-99 
48-10 49-71 4a-53 4b-2a 4c-90 4d-e3 4e-3e 4f-a3 
50-bb 51-d8 52-0f 53-4a 54-3c 55-72 56-dd 57-d0 
58-a1 59-fa 5a-14 5b-78 5c-20 5d-03 5e-e5 5f-bc 
60-f4 61-1a 62-c3 63-c6 64-a9 65-31 66-e2 67-e0 
68-81 69-ae 6a-f1 6b-2c 6c-98 6d-e8 6e-d6 6f-96 
70-c4 71-49 72-55 73-87 74-02 75-13 76-cb 77-ea 
78-5b 79-b5 7a-46 7b-12 7c-34 7d-1b 7e-22 7f-b6 
80-a0 81-68 82-eb 83-2b 84-23 85-0b 86-1f 87-73 
88-45 89-92 8a-44 8b-26 8c-09 8d-fe 8e-a6 8f-f9 
90-4c 91-c0 92-89 93-97 94-cc 95-c5 96-6f 97-93 
98-6c 99-47 9a-33 9b-d2 9c-e1 9d-0e 9e-b9 9f-df 
a0-80 a1-58 a2-ce a3-4f a4-07 a5-e9 a6-8e a7-da 
a8-2d a9-64 aa-dc ab-ba ac-ad ad-ac ae-69 af-f0 
b0-3f b1-41 b2-29 b3-ff b4-24 b5-79 b6-7f b7-3d 
b8-2f b9-9e ba-ab bb-50 bc-5f bd-08 be-f3 bf-00 
c0-91 c1-17 c2-f2 c3-62 c4-70 c5-95 c6-63 c7-d7 
c8-39 c9-2e ca-04 cb-76 cc-94 cd-d1 ce-a2 cf-fd 
d0-57 d1-cd d2-9b d3-37 d4-21 d5-0a d6-6e d7-c7 
d8-51 d9-25 da-a7 db-1c dc-aa dd-56 de-32 df-9f 
e0-67 e1-9c e2-66 e3-4d e4-38 e5-5e e6-01 e7-16 
e8-6d e9-a5 ea-77 eb-82 ec-27 ed-0c ee-30 ef-18 
f0-af f1-6a f2-c2 f3-be f4-60 f5-43 f6-35 f7-11 
f8-19 f9-8f fa-59 fb-1d fc-15 fd-cf fe-8d ff-b3 
end wires

wires 19
00-52 01-0e 02-dd 03-a2 04-75 05-4d 06-0b 07-ad 
08-bd 09-47 0a-f5 0b-06 0c-ec 0d-fb 0e-01 0f-26 
10-95 11-ff 12-57 13-5e 14-89 15-78 16-74 17-c5 
18-e3 19-1d 1a-d4 1b-76 1c-7c 1d-19 1e-94 1f-93 
20-db 21-b0 22-48 23-53 24-a7 25-8e 26-0f 27-bb 
28-56 29-90 2a-d3 2b-b4 2c-43 2d-cd 2e-f7 2f-3d 
30-84 31-8d 32-ea 33-72 34-fe 35-8c 36-dc 37-66 
38-65 39-49 3a-b5 3b-4f 3c-da 3d-2f 3e-87 3f-de 
40-d7 41-e0 42-ac 43-2c 44-99 45-e5 46-a1 47-09 
48-22 49-39 4a-96 4b-6b 4c-a0 4d-05 4e-98 4f-3b 
50-c9 51-e7 52-00 53-23 54-bf 55-b9 56-28 57-12 
58-ae 59-f0 5a-8b 5b-fa 5c-be 5d-7a 5e-13 5f-6c 
60-d5 61-e9 62-b6 63-a3 64-c6 65-38 66-37 67-f4 
68-fd 69-97 6a-b3 6b-4b 6c-5f 6d-ce 6e-f8 6f-80 
70-cf 71-b2 72-33 73-ef 74-16 75-04 76-1b 77-a9 
78-15 79-bc 7a-5d 7b-e4 7c-1c 7d-d1 7e-e8 7f-f3 
80-6f 81-e1 82-aa 83-af 84-30 85-e6 86-9a 87-3e 
88-c7 89-14 8a-c8 8b-5a 8c-35 8d-31 8e-25 8f-9b 
90-29 91-9f 92-ba 93-1f 94-1e 95-10 96-4a 97-69 
98-4e 99-44 9a-86 9b-8f 9c-f6 9d-a4 9e-ed 9f-91 
a0-4c a1-46 a2-03 a3-63 a4-9d a5-d0 a6-c0 a7-24 
a8-cc a9-77 aa-82 ab-f2 ac-42 ad-07 ae-58 af-83 
b0-21 b1-ca b2-71 b3-6a b4-2b b5-3a b6-62 b7-f1 
b8-fc b9-55 ba-92 bb-27 bc-79 bd-08 be-5c bf-54 
c0-a6 c1-eb c2-f9 c3-ee c4-e2 c5-17 c6-64 c7-88 
c8-8a c9-50 ca-b1 cb-d2 cc-a8 cd-2d ce-6d cf-70 
d0-a5 d1-7d d2-cb d3-2a d4-1a d5-60 d6-d9 d7-40 
d8-df d9-d6 da-3c db-20 dc-36 dd-02 de-3f df-d8 
e0-41 e1-81 e2-c4 e3-18 e4-7b e5-45 e6-85 e7-51 
e8-7e e9-61 ea-32 eb-c1 ec-0c ed-9e ee-c3 ef-73 
f0-59 f1-b7 f2-ab f3-7f f4-67 f5-0a f6-9c f7-2e 
f8-6e f9-c2 fa-5b fb-0d fc-b8 fd-68 fe-34 ff-11 
end wires

wires 20
00-45 01-b4 02-46 03-23 04-a7 05-62 06-c4 07-bd 
08-dc 09-38 0a-95 0b-64 0c-f1 0d-47 0e-c7 0f-91 
10-3b 11-fb 12-ea 13-aa 14-da 15-39 16-e2 17-57 
18-53 19-94 1a-ec 1b-bc 1c-c1 1d-a3 1e-9b 1f-fa 
20-77 21-5b 22-a4 23-03 24-9d 25-b0 26-ca 27-96 
28-50 29-f2 2a-6e 2b-4a 2c-33 2d-c8 2e-e8 2f-ce 
30-42 31-e3 32-3a 33-2c 34-f6 35-97 36-f9 37-f3 
38-09 39-15 3a-32 3b-10 3c-ed 3d-ee 3e-a6 3f-83 
40-f7 41-74 42-30 43-63 44-f4 45-00 46-02 47-0d 
48-76 49-c6 4a-2b 4b-4f 4c-b1 4d-d8 4e-a2 4f-4b 
50-28 51-ff 52-66 53-18 54-a8 55-7f 56-c0 57-17 
58-af 59-6c 5a-e0 5b-21 5c-a1 5d-f8 5e-7b 5f-88 
60-bf 61-6a 62-05 63-43 64-0b 65-69 66-52 67-86 
68-db 69-65 6a-61 6b-ad 6c-59 6d-72 6e-2a 6f-d1 
70-f0 71-b6 72-6d 73-b2 74-41 75-7a 76-48 77-20 
78-8b 79-d2 7a-75 7b-5e 7c-ae 7d-e1 7e-c9 7f-55 
80-82 81-9c 82-80 83-3f 84-df 85-d4 86-67 87-c2 
88-5f 89-d6 8a-e5 8b-78 8c-d9 8d-cd 8e-bb 8f-c5 
90-a0 91-0f 92-e4 93-9f 94-19 95-0a 96-27 97-35 
98-cc 99-b3 9a-eb 9b-1e 9c-81 9d-24 9e-fe 9f-93 
a0-90 a1-5c a2-4e a3-1d a4-22 a5-dd a6-3e a7-04 
a8-54 a9-fc aa-13 ab-d3 ac-c3 ad-6b ae-7c af-58 
b0-25 b1-4c b2-73 b3-99 b4-01 b5-fd b6-71 b7-cb 
b8-de b9-ef ba-d5 bb-8e bc-1b bd-07 be-f5 bf-60 
c0-56 c1-1c c2-87 c3-ac c4-06 c5-8f c6-49 c7-0e 
c8-2d c9-7e ca-26 cb-b7 cc-98 cd-8d ce-2f cf-e9 
d0-e7 d1-6f d2-79 d3-ab d4-85 d5-ba d6-89 d7-e6 
d8-4d d9-8c da-14 db-68 dc-08 dd-a5 de-b8 df-84 
e0-5a e1-7d e2-16 e3-31 e4-92 e5-8a e6-d7 e7-d0 
